 SubmissionProgressReport,Header4, N'Not Returning Gr.
 SubmissionProgressReport,FileName, N'Submission Progress Report
 SubmissionProgressReport,ExcelSheetName, N'Submission Progress
 SubmissionProgressStudentsReport,Header0, N'Last Name
 SubmissionProgressStudentsReport,Header1, N'First Name
 SubmissionProgressStudentsReport,Header2, N'Grade
 SubmissionProgressStudentsReport,Header3, N'Last Login
 SubmissionProgressStudentsReport,Header4, N'Course Selection
 SubmissionProgressStudentsReport,FileName, N'Submission Progress
 SubmissionProgressStudentsReport,ExcelSheetName, N'Submissions
 SubmissionProgressStudentsReport,PendingApproval, N'Pending Approval
 SubmissionProgressStudentsReport,Awaiting, N'Awaiting Submission
 SubmissionProgressStudentsReport,Reallowed, N'Reallowed
 SubmissionProgressStudentsReport,NotCompleting, N'Not Completing
 SubmissionProgressStudentsReport,PendingExport, N'Pending Export
 SubmissionNotReturningReport,FileName, N'Not Returning
 SubmissionNotReturningReport,ExcelSheetName, N'Not Returning
 SubmissionNotReturningReport,ZipFileName, N'Not Returning - All Schools
 SubmissionNotReturningReport,Destination, N'Destination
 SubmissionNotReturningReport,Total, N'Total
 SubmissionNotReturningStudentsReport,FileName, N'Not Returning
 SubmissionNotReturningStudentsReport,ExcelSheetName, N'Not Returning
 SubmissionNotReturningStudentsReport,Header0, N'Last Name
 SubmissionNotReturningStudentsReport,Header1, N'First Name
 SubmissionNotReturningStudentsReport,Header2, N'Grade
 SubmissionNotReturningStudentsReport,Header3, N'Last Login
 SubmissionNotReturningStudentsReport,Header4, N'Destination
